Entry	EC number
P0A959	2.6.1.2
P59610	2.3.1.35; 2.3.1.1
Q68WV5	2.7.7.41
Q6CZQ8	2.7.1.71
Q7VE85	2.7.1.71
B1JIQ3	2.7.1.71
B4RBP5	2.8.1.6
Q18D35	2.8.1.6
A7HP26	2.8.1.6
B9DKN5	2.8.1.6
Q6LPR2	2.8.1.6
P0A6E1	2.7.1.71
Q2YY49	2.7.7.72
Q7NAZ6	2.7.2.1
P62060	2.3.1.35; 2.3.1.1
Q8K4Q7	2.7.1.138
Q325L0	2.7.1.71
Q5HP86	2.7.7.72
A1WUI9	2.5.1.19
Q8RXD3	2.3.2.27
Q0VMD3	2.1.1.197
Q0S0N1	2.7.1.71
A6VFI9	2.3.1.35; 2.3.1.1
Q9FIR0	2.3.2.27
Q74C76	2.3.1.182
P41240	2.7.10.2
Q875S9	2.3.1.225
A4G074	2.7.7.68
Q9SN27	2.3.2.27
C0SCV8	2.3.1.35; 2.3.1.1
Q9LE06	2.6.1.88
Q8PU52	2.7.7.68
Q5X1E5	2.7.7.72; 3.1.3.-; 3.1.4.-; 3.1.3.-
A5UG09	2.7.1.71
Q8Y2R9	2.8.1.6
E6SRF9	2.1.1.197
B8GF70	2.5.1.19
A2SU05	2.5.1.19
Q9LJL6	2.3.2.27
Q9ESW4	2.7.1.107; 2.7.1.138; 2.7.1.94
A2RE14	2.7.1.71
A2SPS3	2.7.8.28
Q99TF2	2.7.2.1
Q2FRU9	2.7.8.28
B8GF42	2.7.8.28
P15802	2.3.1.164
Q32DM0	2.1.3.15
B1IHH9	2.8.1.6
B8ESN3	2.1.3.15
Q9M022	2.3.2.27
Q9HZU3	2.1.1.130
Q09X08	2.1.3.15
Q2MIH8	2.1.3.15
A9MTI8	2.8.1.6
Q9JTT3	2.5.1.19
Q83R14	2.4.2.21
A7H6S6	2.5.1.19
P50277	2.6.1.62
E1WTS4	2.8.1.6; 2.6.1.62
Q1J8W0	2.7.2.1
Q9M324	2.7.11.1
P72811	2.5.1.147
Q9JI67	2.4.1.-
B0CI45	2.5.1.19
Q1GE59	2.4.2.7
O28126	2.7.7.72
P9WPX2	2.7.2.4
A7ZJI4	2.8.1.6
A2DZE8	2.4.1.117
O74088	2.4.99.21
Q5P3T0	2.7.7.72; 3.1.3.-; 3.1.4.-; 3.1.3.-
B5XM07	2.5.1.19
Q8PQD8	2.3.1.47
Q7V839	2.1.3.15
D3ZLY0	2.1.1.-
Q8U4D2	2.4.99.21
