Entry	EC number
Q6LLK1	1.1.1.25
Q9JPA3	1.3.7.7
Q12XL7	1.2.7.4
Q6IQE9	1.14.11.-
B3QQZ4	1.3.7.7
A1VXU6	1.2.1.38
Q44257	1.14.-.-
C6E4S6	1.2.1.38
A5UUJ4	1.3.7.7
A8LQ27	1.3.7.7
P29422	1.11.1.6
Q04T45	1.2.1.38
Q9SA85	1.1.1.-
C5CHW7	1.2.1.38
A1TDB8	1.2.1.10
B5BSX1	1.14.14.152
Q34941	1.9.3.1
Q8TWF8	1.2.1.38
P13570	1.16.3.1
Q2RG62	1.2.1.38
Q8KBH8	1.1.1.25
B3PGZ3	1.1.1.25
C1BAJ3	1.2.1.10
Q9SEV0	1.3.1.77
Q50EK4	1.14.-.-
Q40024	1.2.1.8
B2I7K9	1.2.1.38
Q7AH91	1.2.1.8
A8G4T4	1.2.1.38
Q9JJS6	1.13.11.63
Q5KWX7	1.1.1.25
A1AGH3	1.1.1.25
Q9F6X5	1.3.7.7
Q5RJP0	1.1.1.21
A6U7T4	1.2.1.38
P63564	1.2.1.38
O93344	1.2.1.36
C3LDK1	1.20.4.4
Q9FXW4	1.14.14.102
D1MX86	1.-.-.-
Q9KWS5	1.2.1.32
P9WIS2	1.2.4.4
B6HYZ0	1.3.8.13
Q8NUM0	1.1.99.1; 1.2.1.8
O81972	1.14.-.-
Q96514	1.14.-.-
Q7SY23	1.2.1.88
P79761	1.14.14.1
A6ZR27	1.2.1.5
Q08508	1.14.17.4
Q57EI0	1.2.1.8
Q8GAK7	1.2.1.3; 1.2.1.4
Q8UH56	1.2.1.8
Q07973	1.14.15.16
Q49VB1	1.7.-.-
Q96375	1.14.15.21
Q9C826	1.1.1.288
Q27516	1.14.-.-
Q6CWK9	1.9.3.1
B7LAS0	2.1.2.13; 1.1.1.305
A9QNE7	1.14.14.137
Q6ZDE3	1.14.14.137
O64894	1.3.3.6
Q6KHU1	1.7.1.17
Q2KVB0	1.7.1.17
Q9UV71	1.-.-.-
Q0BZT0	1.3.-.-
Q8HYM9	1.14.14.19; 1.14.14.32
I1RF64	1.-.-.-
Q2SXN9	1.2.1.71
P70687	1.14.14.19; 1.14.14.32
B8DH71	1.3.-.-
Q0APH6	1.3.-.-
B1ZGD8	1.3.-.-
A9W350	1.3.-.-
I1RF59	1.-.-.-
Q88MH4	1.1.1.267
Q07MP8	1.3.-.-
Q9MZY0	1.14.14.-; 1.14.13.n7
G3X982	1.2.3.1; 1.17.3.-
P43372	1.9.3.1
Q8NJ59	1.-.-.-
A0A159BP93	1.14.-.-
O93788	1.-.-.-
Q3LFU0	1.14.14.-; 4.2.1.152
P48977	1.1.1.1
Q9Y711	1.-.-.-
P29163	1.9.3.1
W8JWV8	1.1.1.-
A1KPM0	1.2.1.10
Q9X4K2	1.7.1.17
G8BAW7	2.3.1.86; 1.1.1.100; 2.3.1.41
P00184	1.14.14.-; 4.2.1.152
Q6YXQ7	1.3.7.7
Q67L43	1.3.-.-
P41775	1.9.3.1
P54982	1.3.99.30
Q64563	1.1.1.105
B9L2J1	1.2.1.10
A6WST7	1.2.1.71
Q9VW43	1.14.-.-
Q5HCY9	1.3.8.-
Q92I65	1.9.3.1
A8E657	1.5.1.8; 1.5.1.9
Q04944	1.1.1.-
P08478	1.14.17.3; 4.3.2.5
M1W0X9	1.-.-.-
O05204	1.8.1.-
P65076	1.14.11.-
A6H5E7	1.3.7.7
O94206	1.-.-.-
Q99R73	1.14.99.-
P0A9Q7	1.1.1.1; 1.2.1.10
G5EG11	1.14.19.-
Q59723	1.14.14.84
P28469	1.1.1.1
Q8GJN0	1.3.7.7
Q46083	1.18.6.1
P83117	1.11.1.15
Q32RP9	1.3.7.7
Q06069	1.14.99.-; 1.14.15.8
C5B7N2	1.17.1.8
P99151	1.4.1.1
P41747	1.1.1.1
Q7VD37	1.3.7.7
Q64462	1.14.14.1
Q0CS63	1.-.-.-
A2BVK7	1.3.7.7
P80439	1.9.3.1
P34843	1.9.3.1
P51870	1.14.14.1
Q5UYG6	1.8.1.4
P46310	1.14.19.35
C1KWK7	1.17.1.8
A0KR80	1.1.1.94
P48618	1.14.19.-
Q9FFF6	1.14.11.-
C3MAF3	1.1.1.94
Q0KA22	1.1.1.267
Q3YZW4	1.1.5.3
B4TBF2	1.1.5.3
Q829W3	1.2.1.12
Q6AP35	1.1.1.267
Q3KHA6	1.1.1.267
Q6LPG9	1.3.1.9
Q81FZ1	1.8.4.8
B9DNV8	1.1.1.94
P00358	1.2.1.12
C5BHC1	1.1.1.267
